21-8233-1494,5,2023-11-09 20:52:56.697000 UTC
21-8231-6476,44,2023-11-09 16:02:49.253000 UTC
21-8231-6466,11,2023-11-09 16:02:43.440000 UTC
107-7150-2093,1,2023-11-09 16:02:30.557000 UTC
193-5923-8612,44,2023-11-09 16:01:52.993000 UTC
107-7150-2045,44,2023-11-09 16:01:30.290000 UTC
107-7150-1997,5,2023-11-09 16:00:42.307000 UTC
107-7150-1920,44,2023-11-09 15:59:22.470000 UTC
107-7150-1843,44,2023-11-09 15:57:53.753000 UTC
21-8231-6045,5,2023-11-09 15:54:53.383000 UTC
193-5923-8178,44,2023-11-09 15:53:53.310000 UTC
21-8231-5970,44,2023-11-09 15:53:24.010000 UTC
21-8231-5793,44,2023-11-09 15:50:00.187000 UTC
21-8231-5737,44,2023-11-09 15:49:04.887000 UTC
107-7150-1324,5,2023-11-09 15:48:10.407000 UTC
193-5923-7764,1,2023-11-09 15:46:05.393000 UTC
21-8231-5539,44,2023-11-09 15:45:09.570000 UTC
21-8231-5522,5,2023-11-09 15:44:55.297000 UTC
107-7150-1098,5,2023-11-09 15:43:46.250000 UTC
107-7150-1033,44,2023-11-09 15:42:31.777000 UTC
193-5923-7479,11,2023-11-09 15:40:33.437000 UTC
21-8231-5280,44,2023-11-09 15:40:14.863000 UTC
193-5923-7327,1,2023-11-09 15:37:44.267000 UTC
107-7150-0761,44,2023-11-09 15:37:33.280000 UTC
107-7150-0568,44,2023-11-09 15:33:47.617000 UTC
107-7150-0535,5,2023-11-09 15:33:15.060000 UTC
21-8231-4827,5,2023-11-09 15:31:41.137000 UTC
21-8231-4799,5,2023-11-09 15:31:05.690000 UTC
193-5923-6978,11,2023-11-09 15:30:59.287000 UTC
21-8231-4763,44,2023-11-09 15:30:14.680000 UTC
193-5923-6933,11,2023-11-09 15:30:00.387000 UTC
107-7150-0328,5,2023-11-09 15:28:54.500000 UTC
193-5923-6864,5,2023-11-09 15:28:38.147000 UTC
21-8231-4659,44,2023-11-09 15:28:18.673000 UTC
193-5923-6797,5,2023-11-09 15:27:23.180000 UTC
21-8231-4591,44,2023-11-09 15:26:50.233000 UTC
193-5923-6761,44,2023-11-09 15:26:30.527000 UTC
21-8231-4479,44,2023-11-09 15:24:42.327000 UTC
21-8231-4435,5,2023-11-09 15:23:47.843000 UTC
21-8231-4375,44,2023-11-09 15:22:38.150000 UTC
21-8231-4342,5,2023-11-09 15:21:55.957000 UTC
21-8231-4320,5,2023-11-09 15:21:34.727000 UTC
21-8231-4291,44,2023-11-09 15:20:53.313000 UTC
21-8231-4255,44,2023-11-09 15:20:12.657000 UTC
107-7149-9885,11,2023-11-09 15:20:07.763000 UTC
107-7149-9774,44,2023-11-09 15:18:02.573000 UTC
21-8231-4089,44,2023-11-09 15:16:57.457000 UTC
107-7149-9639,44,2023-11-09 15:15:23.407000 UTC
193-5923-6159,5,2023-11-09 15:14:47.630000 UTC
193-5923-6158,5,2023-11-09 15:14:42.443000 UTC
193-5923-6153,44,2023-11-09 15:14:36.870000 UTC
21-8231-3957,44,2023-11-09 15:14:29.097000 UTC
21-8231-3953,44,2023-11-09 15:14:25.910000 UTC
107-7149-9555,5,2023-11-09 15:13:44.150000 UTC
107-7149-9552,44,2023-11-09 15:13:41.437000 UTC
107-7149-9524,5,2023-11-09 15:13:11.240000 UTC
107-7149-9491,5,2023-11-09 15:12:29.647000 UTC
193-5923-6049,5,2023-11-09 15:12:29.013000 UTC
107-7149-9396,5,2023-11-09 15:10:26.713000 UTC
107-7149-9347,5,2023-11-09 15:09:25.687000 UTC
193-5923-5852,5,2023-11-09 15:08:17.800000 UTC
107-7149-9293,5,2023-11-09 15:08:10.467000 UTC
107-7149-9230,44,2023-11-09 15:06:51.967000 UTC
193-5923-5742,44,2023-11-09 15:06:04.173000 UTC
21-8231-3547,5,2023-11-09 15:05:45.357000 UTC
21-8231-3528,11,2023-11-09 15:05:13.033000 UTC
107-7149-8951,44,2023-11-09 15:00:31.007000 UTC
193-5923-5401,5,2023-11-09 14:58:09.437000 UTC
193-5923-5358,44,2023-11-09 14:57:03.417000 UTC
107-7149-8800,44,2023-11-09 14:56:59.593000 UTC
21-8231-3005,11,2023-11-09 14:53:25.043000 UTC
193-5923-5180,5,2023-11-09 14:53:11.403000 UTC
193-5923-5132,44,2023-11-09 14:52:02.143000 UTC
107-7149-8540,44,2023-11-09 14:51:12.220000 UTC
193-5923-5032,44,2023-11-09 14:49:43.417000 UTC
193-5923-5006,44,2023-11-09 14:48:57.277000 UTC
193-5923-4968,44,2023-11-09 14:48:01.237000 UTC
107-7149-8334,44,2023-11-09 14:46:06.313000 UTC
193-5923-4850,5,2023-11-09 14:45:26.567000 UTC
21-8231-2583,5,2023-11-09 14:43:29.557000 UTC
107-7149-8209,11,2023-11-09 14:43:22.750000 UTC
21-8231-2541,44,2023-11-09 14:42:36.077000 UTC
193-5923-4725,1,2023-11-09 14:42:36.017000 UTC
193-5923-4627,44,2023-11-09 14:40:18.713000 UTC
193-5923-4620,44,2023-11-09 14:40:09.520000 UTC
107-7149-8014,44,2023-11-09 14:38:48.627000 UTC
107-7149-8008,44,2023-11-09 14:38:40.387000 UTC
21-8231-2346,1,2023-11-09 14:38:04.343000 UTC
193-5923-4521,44,2023-11-09 14:37:50.667000 UTC
107-7149-7903,44,2023-11-09 14:36:08.157000 UTC
193-5923-4434,44,2023-11-09 14:35:41.273000 UTC
193-5923-4409,44,2023-11-09 14:34:58.550000 UTC
21-8231-2215,44,2023-11-09 14:34:48.523000 UTC
21-8231-2197,5,2023-11-09 14:34:15.570000 UTC
21-8231-2188,11,2023-11-09 14:34:00.240000 UTC
193-5923-4368,44,2023-11-09 14:33:50.133000 UTC
107-7149-7809,44,2023-11-09 14:33:42.603000 UTC
21-8231-2170,5,2023-11-09 14:33:37.027000 UTC
21-8231-2145,5,2023-11-09 14:32:56.763000 UTC
21-8231-2034,5,2023-11-09 14:29:57.007000 UTC
107-7149-7608,5,2023-11-09 14:28:24.487000 UTC
21-8231-1889,44,2023-11-09 14:26:24.977000 UTC
21-8231-1883,44,2023-11-09 14:26:08.320000 UTC
193-5923-4032,44,2023-11-09 14:25:03.863000 UTC
193-5923-4012,5,2023-11-09 14:24:38.897000 UTC
107-7149-7356,5,2023-11-09 14:21:56.117000 UTC
193-5923-3892,1,2023-11-09 14:21:33.843000 UTC
21-8231-1693,11,2023-11-09 14:21:08.957000 UTC
193-5923-3845,5,2023-11-09 14:20:12.543000 UTC
107-7149-7202,5,2023-11-09 14:17:29.720000 UTC
107-7149-7190,5,2023-11-09 14:17:11.093000 UTC
193-5923-3724,44,2023-11-09 14:16:35.990000 UTC
193-5923-3703,11,2023-11-09 14:16:01.867000 UTC
21-8231-1423,5,2023-11-09 14:13:26.927000 UTC
21-8231-1420,5,2023-11-09 14:13:19.247000 UTC
107-7149-7019,5,2023-11-09 14:12:06.563000 UTC
193-5923-3479,1,2023-11-09 14:09:36.560000 UTC
193-5923-3429,5,2023-11-09 14:08:18.100000 UTC
107-7149-6872,44,2023-11-09 14:08:07.983000 UTC
21-8231-1214,5,2023-11-09 14:07:36.310000 UTC
107-7149-6844,5,2023-11-09 14:07:21.853000 UTC
21-8231-1140,44,2023-11-09 14:05:16.340000 UTC
107-7149-6739,5,2023-11-09 14:04:01.413000 UTC
193-5923-3272,44,2023-11-09 14:03:20.713000 UTC
107-7149-6697,11,2023-11-09 14:02:31.850000 UTC
21-8231-1050,44,2023-11-09 14:02:11.397000 UTC
21-8231-1032,44,2023-11-09 14:01:36.277000 UTC
193-5923-3193,44,2023-11-09 14:00:45.823000 UTC
107-7149-6620,44,2023-11-09 14:00:14.597000 UTC
193-5923-3120,5,2023-11-09 13:58:43.813000 UTC
193-5923-3096,5,2023-11-09 13:58:05.753000 UTC
21-8231-0737,44,2023-11-09 13:53:14.427000 UTC
193-5923-2878,5,2023-11-09 13:51:55.203000 UTC
193-5923-2781,5,2023-11-09 13:49:12.283000 UTC
193-5923-2758,5,2023-11-09 13:48:30.023000 UTC
193-5923-2736,5,2023-11-09 13:47:41.437000 UTC
107-7149-6153,44,2023-11-09 13:46:36.957000 UTC
193-5923-2679,5,2023-11-09 13:45:49.290000 UTC
193-5923-2583,44,2023-11-09 13:42:48.240000 UTC
107-7149-6003,5,2023-11-09 13:41:51.140000 UTC
193-5923-2492,11,2023-11-09 13:39:52.410000 UTC
107-7149-5874,5,2023-11-09 13:37:50.297000 UTC
193-5923-2416,5,2023-11-09 13:37:37.447000 UTC
107-7149-5813,5,2023-11-09 13:35:42.017000 UTC
107-7149-5739,5,2023-11-09 13:33:38.730000 UTC
193-5923-2285,5,2023-11-09 13:33:33.893000 UTC
193-5923-2195,44,2023-11-09 13:30:47.520000 UTC
107-7149-5597,5,2023-11-09 13:29:11.010000 UTC
21-8230-9931,5,2023-11-09 13:28:25.383000 UTC
193-5923-2046,5,2023-11-09 13:25:32.400000 UTC
107-7149-5468,5,2023-11-09 13:24:33.860000 UTC
107-7149-5452,5,2023-11-09 13:24:04.440000 UTC
107-7149-5403,44,2023-11-09 13:22:06.193000 UTC
107-7149-5398,5,2023-11-09 13:21:59.140000 UTC
21-8230-9738,5,2023-11-09 13:21:27.683000 UTC
21-8230-9665,44,2023-11-09 13:18:38.267000 UTC
193-5923-1735,44,2023-11-09 13:14:07.933000 UTC
21-8230-9455,5,2023-11-09 13:10:44.390000 UTC
21-8230-9437,11,2023-11-09 13:09:56.210000 UTC
21-8230-9261,5,2023-11-09 13:02:46.647000 UTC
21-8230-9210,5,2023-11-09 13:00:34.013000 UTC
21-8230-9190,44,2023-11-09 12:59:47.853000 UTC
107-7149-4753,5,2023-11-09 12:57:01.287000 UTC
107-7149-4738,11,2023-11-09 12:56:14.357000 UTC
193-5923-1128,11,2023-11-09 12:50:11.437000 UTC
193-5923-1095,44,2023-11-09 12:48:39.777000 UTC
107-7149-4403,44,2023-11-09 12:42:43.650000 UTC
107-7149-4377,44,2023-11-09 12:41:25.253000 UTC
21-8230-8665,44,2023-11-09 12:37:46.347000 UTC
21-8230-8660,44,2023-11-09 12:37:31.617000 UTC
21-8230-8597,5,2023-11-09 12:34:17.250000 UTC
21-8230-8545,44,2023-11-09 12:31:46.363000 UTC
193-5923-0705,44,2023-11-09 12:30:33.940000 UTC
193-5923-0582,44,2023-11-09 12:24:03.340000 UTC
21-8230-8347,44,2023-11-09 12:21:53.873000 UTC
193-5923-0479,44,2023-11-09 12:18:47.907000 UTC
21-8230-8276,5,2023-11-09 12:18:13.500000 UTC
193-5923-0173,5,2023-11-09 12:01:37.593000 UTC
107-7149-3561,44,2023-11-09 11:58:02.047000 UTC
21-8230-7875,44,2023-11-09 11:54:29.287000 UTC
21-8230-7860,5,2023-11-09 11:53:10.270000 UTC
193-5923-0021,5,2023-11-09 11:51:34.857000 UTC
193-5923-0017,5,2023-11-09 11:51:28.523000 UTC
193-5922-9861,11,2023-11-09 11:41:38.400000 UTC
193-5922-9822,44,2023-11-09 11:39:16.117000 UTC
107-7149-3273,5,2023-11-09 11:38:58.710000 UTC
21-8230-7605,44,2023-11-09 11:37:24.707000 UTC
107-7149-3182,5,2023-11-09 11:32:55.860000 UTC
21-8230-7526,11,2023-11-09 11:31:55.833000 UTC
21-8230-7512,5,2023-11-09 11:30:46.163000 UTC
193-5922-9674,44,2023-11-09 11:28:40.827000 UTC
193-5922-9579,5,2023-11-09 11:21:39.573000 UTC
107-7149-2949,44,2023-11-09 11:14:49.357000 UTC
193-5922-9399,5,2023-11-09 11:07:13.577000 UTC
193-5922-9356,5,2023-11-09 11:03:27.617000 UTC
107-7149-2777,11,2023-11-09 11:00:15.420000 UTC
107-7149-2774,44,2023-11-09 11:00:01.220000 UTC
193-5922-9119,11,2023-11-09 10:41:33.917000 UTC
21-8230-6923,44,2023-11-09 10:40:46.797000 UTC
193-5922-9096,44,2023-11-09 10:39:42.473000 UTC
21-8230-6871,44,2023-11-09 10:35:39.197000 UTC
193-5922-9048,44,2023-11-09 10:35:04.710000 UTC
193-5922-8940,44,2023-11-09 10:23:54.900000 UTC
193-5922-8812,11,2023-11-09 10:09:57.353000 UTC
21-8230-6621,5,2023-11-09 10:08:44.220000 UTC
193-5922-8711,5,2023-11-09 09:58:06.367000 UTC
107-7149-2119,7,2023-11-09 09:53:51.127000 UTC
107-7149-1929,44,2023-11-09 09:30:02.973000 UTC
21-8230-6289,11,2023-11-09 09:28:57.823000 UTC
107-7149-1917,11,2023-11-09 09:28:49.770000 UTC
193-5922-8460,5,2023-11-09 09:27:38.420000 UTC
107-7149-1672,5,2023-11-09 08:58:55.387000 UTC
107-7149-1669,44,2023-11-09 08:58:47.543000 UTC
21-8230-6025,5,2023-11-09 08:56:21.553000 UTC
193-5922-8200,5,2023-11-09 08:55:16.443000 UTC
193-5922-8163,5,2023-11-09 08:50:17.137000 UTC
193-5922-7929,11,2023-11-09 08:20:23.817000 UTC
107-7149-1351,44,2023-11-09 08:17:39.490000 UTC
193-5922-7889,5,2023-11-09 08:16:01.610000 UTC
21-8230-5550,5,2023-11-09 07:55:35.493000 UTC
107-7149-1164,44,2023-11-09 07:53:48.627000 UTC
193-5922-7584,44,2023-11-09 07:37:22.440000 UTC
193-5922-7581,7,2023-11-09 07:36:57.120000 UTC
21-8230-5325,5,2023-11-09 07:28:45.887000 UTC
21-8230-5231,7,2023-11-09 07:18:24.860000 UTC
21-8230-5161,44,2023-11-09 07:09:58.617000 UTC
21-8230-5064,11,2023-11-09 06:58:39.653000 UTC
21-8230-5051,44,2023-11-09 06:57:12.320000 UTC
193-5922-7224,44,2023-11-09 06:55:39.857000 UTC
21-8230-4933,11,2023-11-09 06:45:17.323000 UTC
21-8230-4887,44,2023-11-09 06:40:32.483000 UTC
193-5922-7047,1,2023-11-09 06:38:14.207000 UTC
21-8230-4784,44,2023-11-09 06:30:31.267000 UTC
193-5922-6917,44,2023-11-09 06:26:20.233000 UTC
107-7149-0277,44,2023-11-09 06:18:07.110000 UTC
107-7149-0248,5,2023-11-09 06:15:06.533000 UTC
21-8230-4558,44,2023-11-09 06:09:36.570000 UTC
107-7149-0145,5,2023-11-09 06:05:49.717000 UTC
21-8230-4484,11,2023-11-09 06:03:05.510000 UTC
21-8230-4480,44,2023-11-09 06:02:54.990000 UTC
107-7149-0098,44,2023-11-09 06:02:08.687000 UTC
21-8230-4451,44,2023-11-09 06:00:41.977000 UTC
193-5922-6630,5,2023-11-09 06:00:37.600000 UTC
21-8230-4442,44,2023-11-09 06:00:01.927000 UTC
193-5922-6598,44,2023-11-09 05:58:09.607000 UTC
21-8230-4398,44,2023-11-09 05:57:00.623000 UTC
107-7149-0017,5,2023-11-09 05:56:22.150000 UTC
21-8230-4383,5,2023-11-09 05:55:48.600000 UTC
21-8230-4120,44,2023-11-09 05:37:04.363000 UTC
21-8230-4019,44,2023-11-09 05:29:39.617000 UTC
21-8230-3985,44,2023-11-09 05:27:36.897000 UTC
